"","Diameter","Height","HDR"
"223",2,18,90
"224",2,15,75
"225",2,10,50
"226",2,11,55
"227",5,78,156
"228",2,10,50
"229",3,22,73.33333333
"230",3,25,83.33333333
"231",2,21,105
"232",1,10,100
"233",1,10,100
"234",1,10,100
"235",1,12,120
"236",1,12,120
"237",1,12,120
"238",1,12,120
"239",1,12,120
"240",3,34,113.3333333
"241",1,11,110
"242",2,20,100
"243",4,34,85
"244",3,35,116.6666667
"245",2,16,80
"246",2,17,85
"247",1,10,100
"248",1,10,100
"249",1,11,110
"250",1,10,100
"251",2,21,105
"252",1,14,140
"253",1,10,100
"254",5,50,100
"255",3,30,100
"256",3,39,130
"257",2,10,50
"258",3,23,76.66666667
"259",1,10,100
"260",1,10,100
"261",1,7,70
"262",3,28,93.33333333
"263",2,19,95
"264",3,21,70
"265",2,14,70
"266",2,13,65
"267",2,14,70
"268",3,27,90
"269",3,31,103.3333333
"270",1,8,80
"271",2,20,100
"272",2,11,55
"273",4,37,92.5
"274",1,6,60
"275",2,15,75
"276",2,13,65
"277",2,14,70
"278",2,15,75
"279",2,12,60
"280",5,65,130
"281",7,88,125.7142857
"282",8,113,141.25
"283",7,69,98.57142857
"284",3,33,110
"285",4,48,120
"286",6,82,136.6666667
"287",10,135,135
"288",7,84,120
"289",2,15,75
"290",3,37,123.3333333
"291",2,11,55
"292",3,21,70
"293",3,23,76.66666667
"294",2,22,110
"295",2,17,85
"296",2,21,105
"297",2,12,60
"298",2,20,100
"299",2,18,90
"300",3,28,93.33333333
"301",2,20,100
"302",2,10,50
"303",3,25,83.33333333
"304",5,58,116
"305",3,25,83.33333333
"306",3,24,80
"307",3,19,63.33333333
"308",3,26,86.66666667
"309",4,32,80
"310",2,12,60
"311",3,22,73.33333333
"312",2,20,100
"313",2,12,60
"314",3,26,86.66666667
"315",2,11,55
"316",3,34,113.3333333
"317",2,16,80
"318",3,30,100
"319",3,13,43.33333333
"320",3,20,66.66666667
"321",4,42,105
"322",2,12,60
"323",2,13,65
"324",3,31,103.3333333
"325",2,15,75
"326",4,41,102.5
"327",3,19,63.33333333
"328",3,18,60
"329",2,15,75
"330",2,15,75
"331",3,35,116.6666667
"332",1,10,100
"333",2,20,100
"334",2,16,80
"335",2,15,75
"336",2,11,55
"337",2,8,40
"338",3,38,126.6666667
"339",3,18,60
"340",3,24,80
"341",2,17,85
"342",2,23,115
"343",3,43,143.3333333
"344",3,16,53.33333333
"345",3,25,83.33333333
"346",4,35,87.5
"347",4,43,107.5
"348",3,15,50
"349",3,21,70
"350",2,18,90
"351",3,23,76.66666667
"352",2,10,50
"353",1,8,80
"354",1,7,70
"355",3,25,83.33333333
"356",2,12,60
"357",1,6,60
"358",1,4,40
"359",4,38,95
"360",2,16,80
"361",1,6,60
"362",2,11,55
"363",1,4,40
"364",2,14,70
"365",3,29,96.66666667
"366",1,3,30
"367",4,42,105
"368",5,58,116
"369",2,9,45
"370",2,12,60
"371",1,4,40
"372",3,18,60
"373",1,9,90
"374",2,23,115
"375",2,17,85
"376",2,27,135
"377",2,10,50
"378",1,8,80
"379",2,15,75
"380",3,27,90
"381",1,3,30
"382",3,28,93.33333333
"383",2,17,85
"384",1,8,80
"385",2,10,50
"386",1,6,60
"387",1,4,40
"388",3,27,90
"389",1,5,50
"390",3,16,53.33333333
"391",2,15,75
"392",1,11,110
"393",1,9,90
"394",1,5,50
"395",2,20,100
"396",2,5,25
"397",1,9,90
"398",1,4,40
"399",4,40,100
"400",1,14,140
"401",1,8,80
"402",2,6,30
"403",4,29,72.5
"404",3,22,73.33333333
"405",5,30,60
"406",3,22,73.33333333
"407",6,20,33.33333333
"408",2,14,70
"409",5,23,46
"410",1,8,80
"411",5,35,70
"412",10,89,89
"413",3,35,116.6666667
"414",2,19,95
"415",5,22,44
"416",3,42,140
"417",9,68,75.55555556
"418",4,12,30
"419",4,39,97.5
"420",2,17,85
"421",1,6,60
"422",2,15,75
"423",2,11,55
"424",4,46,115
"425",3,32,106.6666667
"426",1,10,100
"427",4,21,52.5
"428",5,14,28
"429",1,5,50
"430",2,12,60
"431",5,32,64
"432",4,45,112.5
"433",5,59,118
"434",6,18,30
"435",2,13,65
"436",3,24,80
"437",2,20,100
"438",4,42,105
"439",2,13,65
"440",2,15,75
"441",6,52,86.66666667
"442",7,60,85.71428571
"443",3,27,90
"444",6,39,65
"445",2,10,50
"446",3,24,80
"447",2,16,80
"448",3,36,120
"449",3,22,73.33333333
"450",2,11,55
"451",3,23,76.66666667
